dep;nb_accidents;nb_accidents_log;population;ratio_accidents_pop;ratio_log
69;1921;7.561121589530238;1933160.0;0.9937097808769063;0.6899971147466233
70;108;4.6913478822291435;239980.0;0.4500375031252605;0.37158942032232734
71;530;6.274762021241939;563990.0;0.9397329739889004;0.662550321327907
72;463;6.139884552226255;579000.0;0.7996545768566494;0.587594744740317
73;290;5.673323267171493;457463.0;0.6339310501614338;0.49098879858386746
74;525;6.26530121273771;869929.0;0.6034975268096592;0.4721871977798545
75;4763;8.46884293047519;2129257.0;2.2369305349236845;1.174625515005375
76;790;6.673297967767654;1280768.0;0.6168174095542674;0.48045965495767984
77;892;6.794586580876499;1468459.0;0.6074394995025398;0.4746425400310378
78;646;6.472346294500901;1493882.0;0.4324304061498833;0.35937258633228714
79;176;5.176149732573829;385737.0;0.4562694270967006;0.3758779787384784
80;274;5.616771097666572;575480.0;0.4761242788628623;0.38941992240526585
81;206;5.332718793265369;406186.0;0.5071568197820703;0.4102249751342271
82;147;4.997212273764115;270664.0;0.5431087991014689;0.4337990823025146
83;804;6.690842277418564;1124489.0;0.7149914316636267;0.5394080844909193
84;336;5.820082930352362;579262.0;0.5800484064205834;0.45745548354462573
85;387;5.961005339623274;725062.0;0.5337474588380029;0.42771406021227365
86;224;5.41610040220442;448866.0;0.4990353468518444;0.4048217991305384
87;422;6.0473721790462776;378754.0;1.1141796522280951;0.7486668659697644
88;177;5.181783550292085;369069.0;0.4795851182299245;0.39176172295715933
89;168;5.1298987149230735;342095.0;0.4910916558265979;0.39950850661395404
90;37;3.6375861597263857;142989.0;0.2587611634461392;0.23012803368748663
91;1319;7.1853870155804165;1338107.0;0.9857208728449967;0.685982008335901
92;2563;7.849323818040561;1663026.0;1.541166524155365;0.9326232370806607
93;2650;7.8826922062890254;1688205.0;1.5697145785020186;0.9437948337909958
94;2204;7.6984827878809465;1428350.0;1.5430391710715161;0.9333598898099525
95;906;6.810142450115136;1280338.0;0.7076256426037499;0.5351038925397688
971;558;6.326149473155099;388197.0;1.437414508612895;0.890937849885198
972;546;6.304448802421981;364991.0;1.4959272968374562;0.9146603222133477
973;600;6.398594934535208;290476.0;2.065575124967295;1.1202351945154292
974;882;6.78332520060396;891190.0;0.989687945331523;0.6879778150490149
975;2;1.0986122886681096;;0.0;0.0
976;154;5.043425116919247;;0.0;0.0
977;7;2.0794415416798357;;0.0;0.0
978;30;3.4339872044851463;;0.0;0.0
986;10;2.3978952727983707;;0.0;0.0
987;170;5.14166355650266;;0.0;0.0
988;222;5.407171771460119;;0.0;0.0
